project_id,emp_id,budget,start_date,status
8034378,166615,35534.0,2020-07-19,Active
3244358,673195,935137.0,2021-01-29,Completed
6486593,627875,190784.0,2021-02-12,Completed
6279267,644832,60250.0,2022-04-23,Completed
2082451,529120,79957.0,2018-06-04,Completed
4662385,621534,54851.0,2024-01-04,Active
1602460,209189,69710.0,2018-12-29,Planned
4640050,966846,56179.0,2019-03-06,On-Hold
2246806,817554,12695.0,2021-11-14,Active
6357461,173440,34923.0,2022-12-29,Planned
7095567,532882,472884.0,2019-11-05,Completed
3689762,420011,927753.0,2018-07-12,Completed
6357118,397601,180380.0,2023-11-07,Active
4387044,353012,169329.0,2020-11-25,On-Hold
2382269,371921,663842.0,2023-10-01,Active
7132635,945171,20856.0,2019-10-10,Completed
7703635,117386,78759.0,2019-08-17,Completed
9156056,577691,172314.0,2023-05-08,Completed
2131576,389826,25680.0,2019-11-26,Planned
7212999,309371,112945.0,2020-02-07,Completed
6358313,102684,30617.0,2020-12-29,Active
4838313,949908,123496.0,2024-05-26,Active
9232839,906355,17155.0,2022-04-01,Active
2937703,186728,20750.0,2023-08-30,Active
2761962,137043,11806.0,2023-08-09,Planned
9683887,387944,834292.0,2018-12-15,Completed
5205640,910003,165674.0,2024-04-30,Completed
6326448,196851,19476.0,2024-08-18,Completed
2853207,201422,35002.0,2023-05-27,Active
3712242,880254,40815.0,2019-03-16,Completed
2711467,400712,99959.0,2024-02-11,Planned
9335890,644356,42153.0,2019-10-19,Active
5944810,176527,48144.0,2019-08-31,Active
6921425,225612,35868.0,2021-05-20,Active
1153696,402212,44573.0,2018-04-12,Completed
4432669,179121,74996.0,2019-04-06,Active
5484148,490936,40118.0,2019-11-27,Active
7605318,473591,481969.0,2021-02-12,Active
4985073,501094,90754.0,2019-11-11,Active
8628453,755465,32052.0,2019-01-08,Active
3469659,909849,45442.0,2024-05-12,Completed
5139889,708814,171610.0,2023-06-01,On-Hold
2249432,892150,,2019-08-18,Active
5826558,222719,1024242.0,2024-03-25,Completed
1255657,724205,35952.0,2022-03-19,Active
9997971,314764,95276.0,2019-10-04,Active
8525566,658040,38389.0,2018-04-24,Completed
7912002,796576,36874.0,2023-06-13,Active
8229438,166491,35261.0,2019-07-15,Planned
5236534,779934,17061.0,2020-05-04,Active
2862172,278259,17460.0,2023-10-03,Active
5005279,193959,44693.0,2021-12-01,Active
6591483,881906,92197.0,2018-09-07,Planned
9210297,350714,34538.0,2022-03-08,Planned
4083929,919350,20909.0,2021-03-25,Active
3071455,950203,384957.0,2019-10-29,Active
6991128,719903,1109887.0,2018-06-13,Active
1735780,137362,23638.0,2019-06-09,Completed
1790174,456661,897148.0,2019-03-04,Completed
3484548,630170,844616.0,2021-01-22,Completed
3359747,358412,1126284.0,2019-05-08,Active
9310019,874762,163153.0,2018-11-20,Active
1250932,409862,35692.0,2019-08-27,Active
5772621,636933,553696.0,2020-04-23,Planned
9723229,330355,20595.0,2023-01-02,Completed
1754851,252197,18582.0,2021-03-28,Active
6507340,927025,18462.0,2024-09-27,Completed
9969277,918653,199096.0,2021-01-22,Completed
1423808,430417,58915.0,2023-03-18,Active
4723866,500442,41585.0,2023-03-03,Active
6509156,135841,1000322.0,2018-08-24,Active
8893678,928090,108381.0,2022-08-29,Planned
4810488,891642,17638.0,2020-05-06,Completed
4243443,333418,10398.0,2022-08-07,Planned
4174450,362491,10433.0,2022-04-02,Completed
9473202,478985,1039246.0,2021-04-30,Active
5989709,568469,18296.0,2021-09-10,Active
1234780,985188,19111.0,2019-04-01,Active
6068971,885029,100944.0,2018-09-10,Planned
5279814,797101,55200.0,2018-10-06,Active
9962128,695105,83913.0,2024-07-29,Completed
7799245,241208,129627.0,2024-05-01,On-Hold
4265725,903112,35197.0,2019-10-26,Completed
4201375,818790,47183.0,2023-09-30,Active
6188391,900200,108994.0,2019-09-24,Active
9104814,702960,129129.0,2022-04-05,Planned
2081964,915839,62401.0,2020-08-28,Active
7099213,688570,1189458.0,2021-10-21,Active
1286614,983203,137124.0,2019-07-01,On-Hold
3866123,306873,43940.0,2020-01-13,Active
5820043,842563,25018.0,2019-02-28,Completed
6906503,323417,47270.0,2024-05-06,Completed
7152870,746680,146495.0,2023-02-13,Active
7712925,955187,15613.0,2024-10-01,Completed
1258926,477878,133148.0,2020-09-27,Active
2345197,140870,35487.0,2022-06-30,Planned
1591086,768580,143907.0,2020-07-16,Active
7668073,496266,122753.0,2020-05-08,Completed
9350586,581910,34108.0,2023-09-06,Completed
2198940,839986,43764.0,2020-07-22,Planned
7265926,588094,88688.0,2022-10-24,Completed
5151114,928452,48368.0,2021-06-09,Active
8517767,732811,36997.0,2019-10-26,On-Hold
1993061,375519,30678.0,2019-11-02,Completed
7284664,241769,72628.0,2020-12-04,Active
1608285,502277,125904.0,2024-03-22,Active
8077185,532041,22741.0,2021-07-08,On-Hold
1745466,741854,561452.0,2023-09-26,Completed
6814075,679575,31102.0,2024-08-06,Planned
1841678,252889,160970.0,2019-08-03,Active
3015623,282761,54189.0,2019-04-09,Active
8921292,771223,41559.0,2021-05-23,Active
4294869,721434,125671.0,2023-05-29,Planned
3248456,265051,45100.0,2022-03-12,Active
2693715,838511,27910.0,2020-05-04,Active
3901986,204426,41570.0,2019-10-12,Completed
8898977,990813,18593.0,2018-03-12,Completed
9378638,736199,44072.0,2019-01-31,Active
7635190,843322,42181.0,2020-01-04,Completed
7898659,787333,55535.0,2019-12-14,Completed
1646882,411044,114288.0,2023-11-07,Active
8416623,188511,94352.0,2019-07-20,Completed
8178043,292284,18635.0,2021-02-05,Planned
1067407,425815,1171699.0,2023-03-25,Active
8034760,809544,119363.0,2023-05-05,Active
3259370,263727,152793.0,2018-12-23,Active
7954342,930686,16156.0,2018-10-15,Active
3427384,691459,38796.0,2018-05-24,Active
3978962,248372,140413.0,2023-10-11,Active
5328345,697679,120331.0,2024-06-25,Completed
2498917,262537,25193.0,2021-09-11,Active
4170766,400029,73384.0,2020-08-17,Active
3389967,290397,479334.0,2023-02-20,Active
1699115,507719,30621.0,2023-05-19,Planned
2340066,301638,511579.0,2023-11-20,Active
9798740,545886,1129987.0,2020-04-07,On-Hold
4934720,973341,199801.0,2019-12-06,Active
2280991,867211,47446.0,2022-08-03,Planned
5411558,533047,18424.0,2020-05-16,Planned
6579886,596561,127895.0,2024-08-25,Active
7479428,310316,48085.0,2020-03-22,Active
5646488,924532,17131.0,2021-03-02,Active
6997689,962673,55495.0,2019-05-03,Completed
6541643,361142,161307.0,2021-05-05,Completed
6314318,434468,21348.0,2022-01-19,Planned
1457132,590264,47926.0,2023-07-23,Completed
8978319,301089,47229.0,2023-07-21,Active
1328005,511188,707288.0,2023-09-12,Active
5576972,690711,39491.0,2021-08-16,Planned
5010583,499048,197206.0,2022-03-13,Active
7112381,295472,180691.0,2023-12-13,Completed
4655459,889369,43662.0,2024-06-28,Active
4744901,757899,196344.0,2023-04-08,Active
7850384,905052,45423.0,2019-03-15,Active
5202629,259704,681162.0,2022-03-02,Active
2062418,682775,25455.0,2019-10-01,Active
3981565,865044,1156439.0,2021-12-30,Planned
8579814,759013,31576.0,2021-08-28,Completed
3507319,267792,34290.0,2023-07-31,Completed
8335895,197625,48624.0,2021-10-28,Active
7196470,206474,120614.0,2018-12-21,Planned
8768309,713293,11384.0,2018-10-20,On-Hold
4321904,468931,160813.0,2024-05-02,Active
9205137,653980,15333.0,2018-04-30,Completed
8425725,652040,48133.0,2018-02-20,Completed
3685707,838901,94326.0,2023-09-21,Planned
2228094,986486,104857.0,2018-05-22,Active
4031214,873104,24497.0,2020-05-27,Completed
3588247,620374,41151.0,2020-04-12,Planned
5277886,448964,35981.0,2018-04-20,Planned
4512222,383514,132116.0,2018-02-02,Active
5497650,835147,54877.0,2020-09-22,On-Hold
8416524,425342,881981.0,2020-11-01,Planned
3052352,380408,35920.0,2023-07-02,Active
7413355,704341,199241.0,2018-10-16,Planned
7024273,669710,20806.0,2023-11-20,Completed
2331684,311765,46812.0,2024-02-25,Completed
6789714,209166,25383.0,2019-02-21,Planned
2301599,699343,155209.0,2019-03-09,On-Hold
8432842,113639,929482.0,2022-07-05,Completed
3633769,218068,122213.0,2020-02-01,Active
6992897,920405,179489.0,2022-12-14,Planned
6444896,955515,14579.0,2019-11-25,Active
8610748,190922,28952.0,2019-10-22,Active
2204159,125201,33514.0,2021-09-09,Planned
8999044,969433,630414.0,2024-07-04,Completed
4321953,338982,139578.0,2021-09-12,Planned
2104013,155496,43725.0,2021-08-02,Planned
6713299,680898,48084.0,2019-04-15,Planned
7612139,239753,123055.0,2024-01-20,Planned
3792932,793519,196248.0,2023-09-23,Active
8683155,503315,69063.0,2024-06-06,Completed
7617988,758768,25726.0,2019-07-08,Active
3702115,408499,166348.0,2022-01-31,Completed
4086199,621798,1028223.0,2024-05-28,Active
5643134,379896,820958.0,2022-02-07,Active
3412585,717169,160695.0,2024-07-28,Active
7634036,913194,547979.0,2024-05-16,Planned
4983710,629742,38020.0,2021-10-29,On-Hold
7535900,738843,125855.0,2019-06-30,Planned
7447431,626584,,2022-06-23,Completed
5252305,809582,,2024-09-10,Active
7540533,972611,111997.0,2021-11-09,Planned
4230035,130430,144118.0,2019-01-15,Planned
2652685,709525,197115.0,2023-05-19,Active
7605772,184072,961875.0,2022-06-22,Planned
4041185,503053,25923.0,2024-03-19,Planned
6379993,291543,435265.0,2024-02-21,Active
4347013,255095,814933.0,2021-10-13,Completed
1489508,243983,28091.0,2018-11-23,Active
7480850,587918,48966.0,2019-06-27,Planned
1058390,447873,94377.0,2022-11-10,Active
3024241,291285,26007.0,2022-08-21,Active
7206606,958681,159737.0,2024-09-19,Active
3699393,489652,44468.0,2019-09-02,Completed
6771064,321724,76892.0,2020-03-20,Completed
6989007,570043,29573.0,2018-06-30,Planned
2484303,433167,954401.0,2018-05-03,Completed
3475714,484743,345811.0,2023-02-23,Completed
9316503,245186,897643.0,2020-07-29,Active
4152701,499267,43179.0,2020-10-19,Planned
3934586,723705,1053562.0,2018-08-05,Active
9362485,862560,144829.0,2018-08-21,Planned
5914502,210372,772333.0,2020-06-07,On-Hold
6397777,975897,33012.0,2019-10-20,Active
3684445,840560,16617.0,2020-06-15,Planned
5401142,510732,19268.0,2020-08-16,Completed
3887310,712873,20020.0,2023-07-15,Completed
6204465,241173,860915.0,2021-10-11,Active
9046302,917478,45183.0,2021-12-20,Completed
6677956,843885,39640.0,2019-01-28,Active
9008552,488245,1098346.0,2019-10-14,Active
9307459,541800,132294.0,2022-05-04,Completed
7479090,736656,71914.0,2020-11-24,Active
5530192,336796,597940.0,2018-02-28,Planned
2564598,654086,62220.0,2023-02-24,Planned
3027770,946536,11045.0,2021-01-01,Planned
4512093,816513,44516.0,2023-03-18,Active
2540672,381234,33987.0,2023-10-21,Completed
1472920,858783,76315.0,2018-02-13,Planned
7352155,287277,45468.0,2020-02-07,Completed
6553036,214830,24152.0,2024-09-23,Active
6830909,895769,42191.0,2019-11-14,Active
2927543,906899,44111.0,2021-01-19,Completed
4248047,406889,141967.0,2020-01-28,Completed
6172927,373555,184162.0,2018-09-19,Planned
2088819,209195,41681.0,2020-07-14,Active
6771864,590443,582868.0,2022-11-20,Completed
3613651,928499,411760.0,2018-06-10,Completed
9231099,331635,27879.0,2021-06-14,Planned
3350413,614104,15595.0,2023-01-15,Planned
1255049,252248,212749.0,2020-01-06,Completed
2040586,810547,31070.0,2021-04-10,Planned
4972600,510598,36206.0,2021-02-20,Planned
8656841,267855,22897.0,2021-02-10,Active
5650314,341329,979412.0,2024-02-23,Active
1300363,197191,40818.0,2019-05-23,Active
5594078,824434,41386.0,2019-02-04,Completed
2655840,908452,48228.0,2023-05-08,Completed
2693068,694216,37434.0,2023-04-18,Active
1041940,747097,116118.0,2020-06-13,Planned
1795553,536548,153896.0,2022-01-14,Active
1260140,387663,104833.0,2020-11-23,Completed
4237403,339853,13176.0,2022-01-19,Completed
5832567,727083,18689.0,2019-09-04,Planned
4968115,217781,64867.0,2024-06-08,Completed
6378839,605819,146792.0,2023-04-09,Active
4234813,125592,12370.0,2018-03-06,Planned
5748532,979269,23743.0,2020-10-03,Active
6846556,296847,399243.0,2020-03-05,Active
2524495,812671,116303.0,2020-06-15,Active
2453015,623795,27190.0,2022-02-01,Completed
4658173,748551,94941.0,2021-08-17,Active
4438059,846988,574321.0,2020-04-24,Completed
5130652,140907,44612.0,2021-01-16,Planned
3599811,524453,164404.0,2018-01-19,Planned
3766248,771824,195384.0,2019-02-14,Planned
9839833,802514,46854.0,2018-10-31,Active
5080921,249034,186161.0,2021-02-11,Completed
3731558,363327,18956.0,2022-01-03,Planned
1142730,237003,11391.0,2021-01-12,Active
9990590,566437,43004.0,2019-05-04,Active
3264718,989127,308472.0,2022-07-26,Active
9251058,601606,923087.0,2022-08-21,Completed
6736710,178297,145738.0,2020-12-21,Active
3066360,397007,535424.0,2024-04-15,Planned
5810431,801174,42022.0,2019-07-03,Active
9440801,198600,14144.0,2018-07-21,Active
1992398,105324,45289.0,2023-01-31,Active
2704473,622815,14504.0,2022-04-21,Active
7768509,129492,198225.0,2024-09-27,Completed
8014205,316192,34909.0,2019-06-23,Active
5248736,455742,173352.0,2021-10-21,Active
3645873,845235,801195.0,2023-03-22,Completed
4574264,790474,46103.0,2018-04-16,Planned
8532369,845904,,2020-11-02,Completed
5363471,154322,22408.0,2019-05-02,Planned
6943475,859657,193451.0,2022-09-20,Active
3999318,109550,30318.0,2020-01-18,Planned
8962068,966522,68756.0,2022-08-31,Active
6506080,538733,79788.0,2022-04-15,Planned
2245702,926653,11128.0,2023-08-27,Active
2992826,525221,22220.0,2023-02-21,Planned
4005869,885679,31687.0,2019-01-25,Completed
9539576,404400,41990.0,2021-06-01,Completed
4694422,169790,30951.0,2023-06-04,Active
8422548,123525,115149.0,2021-07-13,Active
5398660,545754,35625.0,2019-05-04,Active
3569727,159087,18037.0,2018-02-03,Completed
1380187,912609,27595.0,2024-04-08,Completed
1386096,605826,30730.0,2018-08-28,Active
2238708,137866,42004.0,2019-10-19,Completed
6722924,534365,104397.0,2023-11-03,Active
3582473,547872,50664.0,2021-11-27,Active
6166836,385786,108773.0,2022-04-15,Completed
4376399,844773,106508.0,2019-03-08,Completed
5814855,467260,43649.0,2018-06-12,Completed
7846987,434948,36663.0,2021-11-20,Active
6324670,428619,175406.0,2023-10-22,Planned
5842219,914827,63228.0,2022-08-12,Active
2110430,418563,29522.0,2023-11-04,Completed
9742003,735604,110238.0,2022-08-08,Active
1424078,635916,323817.0,2023-12-20,Planned
9573361,453509,17538.0,2018-07-02,Active
1950071,798662,120048.0,2020-09-06,Active
5652890,687119,769397.0,2022-10-22,Planned
4267780,829931,12016.0,2022-03-30,Planned
5103491,600972,976387.0,2019-06-29,Active
2513144,400451,,2022-04-10,Active
5770433,265176,1137609.0,2022-06-25,Completed
8890112,557989,10563.0,2021-09-01,Active
5826481,133319,42013.0,2021-07-19,Active
1348253,498304,39555.0,2020-03-14,Active
7096998,467330,131651.0,2020-10-31,Active
4328686,259459,27900.0,2024-10-14,Active
8667223,983411,44544.0,2022-10-02,Active
9105246,785714,42070.0,2018-12-04,Active
8668516,592360,49634.0,2022-09-27,Planned
1056835,783832,1175666.0,2018-11-30,Active
8832094,269513,18465.0,2021-12-30,Active
7084125,926634,758594.0,2018-04-15,Completed
8463602,649716,328345.0,2021-09-20,Completed
3863795,223466,33331.0,2022-03-30,Completed
1180684,861149,73693.0,2022-03-28,Active
7168695,592944,409244.0,2019-10-22,Completed
6315037,353254,18033.0,2023-06-13,Active
2852557,723514,27698.0,2019-06-27,Completed
2399457,537097,,2021-09-27,Active
4735385,288886,26281.0,2019-10-15,Active
8853050,891386,24571.0,2021-07-31,Active
8168996,206569,408142.0,2021-12-21,Active
9085438,156344,12584.0,2018-03-13,Active
3857900,180834,73160.0,2023-09-04,Planned
1188472,494991,852942.0,2019-01-17,Active
8762179,854772,99153.0,2024-01-28,Completed
2271685,153567,34688.0,2020-04-16,Active
1461432,828471,72605.0,2022-01-22,Completed
2885633,456479,20884.0,2021-12-29,Planned
7438837,706281,23831.0,2024-01-16,Planned
6754146,617812,354999.0,2018-11-23,Planned
9297573,852836,25807.0,2022-02-21,Active
9560610,463469,31736.0,2023-07-23,Active
1053246,190067,12216.0,2022-09-09,Completed
2934023,826276,155022.0,2023-03-28,Active
6440228,443052,600798.0,2022-09-17,Planned
2234527,810547,180899.0,2018-05-15,Completed
5411917,177567,46522.0,2023-02-24,Active
6203572,136120,16517.0,2021-10-08,Planned
1855899,588316,41277.0,2024-04-14,Active
6016981,627391,199192.0,2023-03-09,Active
6517331,501189,166022.0,2024-09-30,Planned
6736657,840008,16176.0,2020-12-28,Planned
6270106,663695,37888.0,2020-04-10,Completed
1861517,178719,40086.0,2023-09-11,Active
3407068,589176,33453.0,2020-10-06,Active
3319265,932370,189815.0,2021-10-22,Active
5557444,674450,27607.0,2024-08-26,Active
4466635,448438,26027.0,2024-07-02,Planned
5576895,340973,18300.0,2024-01-22,Completed
1298052,677934,26941.0,2019-07-04,Active
2548558,778981,27928.0,2019-06-01,Planned
5303867,436836,42477.0,2019-04-10,Active
7016490,299452,37565.0,2018-06-18,Planned
9169853,444459,15607.0,2018-02-08,Completed
1069100,250429,999605.0,2020-10-07,Active
1335462,888235,699219.0,2022-04-04,Completed
8632861,273886,156129.0,2024-09-18,Planned
1544418,499005,131204.0,2018-02-09,Active
1809162,957772,47184.0,2018-08-16,Active
4331294,201135,462754.0,2020-06-30,Completed
3063471,733931,37822.0,2020-06-21,Active
4462953,288882,885005.0,2022-01-04,Active
8373788,563561,737624.0,2022-12-31,Completed
2267655,153279,96226.0,2020-09-18,Active
1117450,534644,731731.0,2024-04-12,Completed
2194376,623401,263345.0,2022-02-10,Planned
6021853,283855,45266.0,2018-10-06,Completed
2743386,596584,192938.0,2022-01-22,Active
2491648,127499,12218.0,2023-08-16,Completed
3007424,408061,70649.0,2023-04-23,Planned
1627636,969574,15038.0,2019-06-18,Active
4529000,525806,48945.0,2020-05-20,Active
5738734,767754,34287.0,2019-01-30,Planned
9860011,665518,71839.0,2018-04-22,Active
2396044,580110,40442.0,2024-02-01,On-Hold
7936844,304433,30137.0,2023-06-11,Active
9114310,331455,43616.0,2018-04-24,Completed
1286610,388344,14355.0,2018-02-11,Active
6509348,818213,811698.0,2019-01-29,Completed
6966589,635856,25590.0,2020-04-16,Active
7608522,164221,20969.0,2019-01-29,Active
7162160,904461,48645.0,2021-03-20,Active
9246383,906602,72511.0,2020-06-30,Completed
3693956,860409,92042.0,2023-06-14,Active
4582206,295973,20102.0,2024-07-11,Completed
8724130,988650,94640.0,2019-06-11,Completed
6963366,620374,24956.0,2018-02-28,Active
1820044,461177,48189.0,2019-06-26,Active
3701397,597922,71035.0,2022-01-10,Completed
7483888,806791,44325.0,2021-10-23,Planned
1621398,306440,17046.0,2018-01-23,Completed
1580811,389800,20737.0,2023-09-09,Completed
1567027,670074,1180540.0,2020-12-31,Active
1401649,899746,169047.0,2020-02-23,Active
4927363,778222,16880.0,2019-08-04,Active
7515679,347240,139260.0,2023-03-17,Active
9107111,925728,43193.0,2021-03-05,Completed
9970363,808464,421502.0,2020-12-31,Active
8613428,357471,43413.0,2023-03-18,Planned
7452656,404183,158899.0,2022-04-18,Active
7236122,881906,14960.0,2022-08-14,Active
6278584,708266,138784.0,2021-11-03,Completed
4547750,759677,847850.0,2023-08-02,Planned
4464835,553204,80569.0,2022-03-17,Completed
5245511,140886,195291.0,2023-11-16,Completed
5096413,848136,149405.0,2019-09-21,Completed
9726618,420463,142026.0,2023-11-14,Completed
6106240,126484,60879.0,2021-08-15,Planned
1649076,684242,749622.0,2019-07-31,Active
1836662,763136,38851.0,2021-03-24,Active
3463982,389387,132254.0,2021-09-27,Planned
4021778,552222,34373.0,2024-05-11,Active
9993458,757682,166386.0,2024-07-10,Completed
4644632,348979,157735.0,2019-04-22,On-Hold
5826043,937361,45849.0,2019-08-19,Planned
2994806,161339,104195.0,2023-09-15,Planned
6452595,691709,163174.0,2019-10-02,Completed
5827791,879039,21590.0,2023-12-30,Planned
9270331,631585,175384.0,2023-03-19,Active
9312327,361825,40799.0,2019-07-13,Active
7721217,836849,147295.0,2021-03-24,Active
6371588,668344,711634.0,2018-09-22,Completed
4905144,810457,136406.0,2019-10-28,Completed
5390945,904989,21529.0,2021-02-26,Planned
3822632,529282,176298.0,2022-03-21,Active
2839020,905012,129652.0,2024-05-23,Active
3271271,551542,46331.0,2023-10-11,Active
9123336,692328,13090.0,2022-07-01,Completed
5250553,237831,24759.0,2020-01-13,Active
5995699,578798,26601.0,2021-07-02,Planned
1218596,228601,27353.0,2024-06-06,Planned
1586220,798544,28227.0,2019-07-03,Planned
2149872,532133,31213.0,2024-01-11,Completed
5446461,857149,15956.0,2018-02-01,Planned
9577390,565742,181402.0,2021-05-22,Planned
9261879,456832,23606.0,2024-01-18,Planned
9281377,285434,87702.0,2020-04-14,Active
8984287,784351,46827.0,2023-10-29,Active
6636630,699235,860396.0,2023-12-26,Active
6379698,811343,156634.0,2022-09-19,Active
2057248,841572,44748.0,2022-11-24,Completed
7009355,773919,63259.0,2023-07-18,Planned
4807984,554651,39950.0,2021-12-29,Active
3088354,361965,33690.0,2021-12-12,Active
4386846,598691,19544.0,2018-05-01,Active
2998621,142347,36824.0,2022-01-12,Completed
9784478,310862,293805.0,2020-04-12,Completed
1835476,160293,15135.0,2021-11-26,Planned
6649541,452673,122877.0,2022-08-04,Active
7667724,812352,31821.0,2019-06-24,Planned
9485932,511305,72061.0,2020-09-12,Active
9947065,355794,15765.0,2020-08-06,Active
1282890,952068,41671.0,2018-11-05,Completed
5062382,142347,38036.0,2023-08-15,Planned
9751898,894962,31004.0,2020-06-15,Completed
6008383,897267,94325.0,2018-10-02,Active
9900080,802837,,2023-12-05,Planned
8929506,886296,20399.0,2020-10-26,Active
4647398,575525,130440.0,2021-03-24,Completed
1800424,744400,15660.0,2022-01-25,Active
5045682,392421,48487.0,2024-04-11,Active
9079908,515792,14498.0,2020-12-25,Completed
6300821,579598,45293.0,2019-10-30,Completed
2969548,762884,461891.0,2022-06-08,Planned
1954168,361487,129072.0,2018-10-13,Active
7310208,469793,112065.0,2019-02-17,Completed
9490422,364495,45106.0,2018-04-27,Planned
9155621,782997,78776.0,2020-08-17,Active
6332220,627221,800629.0,2024-08-10,Completed
2560970,254862,151288.0,2022-04-06,On-Hold
7720663,248257,89355.0,2021-10-21,Completed
4451675,918862,17160.0,2024-07-12,Active
5992044,656621,442927.0,2024-07-05,Active
3984391,944328,42093.0,2019-05-13,Active
6640942,880647,128047.0,2021-05-27,Active
6827443,358899,17085.0,2022-10-16,Active
2124556,492469,21547.0,2018-06-05,Active
9395002,482490,35572.0,2018-03-10,Active
4857534,711307,152031.0,2020-05-27,Completed
2542270,969002,22565.0,2019-03-26,Active
5528023,283672,53794.0,2024-10-15,Active
8347222,626054,173389.0,2022-11-04,Completed
8335789,837456,917733.0,2024-09-11,Planned
9151367,409211,32178.0,2019-01-07,Active
7317236,613160,33588.0,2019-10-26,Active
6204227,733808,198791.0,2018-12-06,Completed
3065148,257990,129212.0,2019-08-08,Active
2240224,972105,43529.0,2024-02-04,Completed
3315734,248372,104095.0,2023-10-28,Active
7251793,144399,1053174.0,2023-04-11,Planned
5283127,405340,11093.0,2019-06-12,Planned
7661300,923017,14820.0,2023-12-02,Active
5802496,420190,40619.0,2021-06-29,Completed
5314053,857740,21506.0,2019-03-07,Active
8370671,385898,47087.0,2024-03-14,Completed
3727753,119960,277739.0,2019-01-22,Active
2798619,270551,67000.0,2023-04-21,Planned
3151358,306849,178797.0,2022-09-26,Active
6971259,568418,36560.0,2020-01-28,Active
3965853,505596,16307.0,2020-12-07,Completed
8051797,888099,140759.0,2022-03-27,Planned
6760717,734390,31693.0,2023-03-12,Active
3505272,393044,71223.0,2022-04-11,Planned
8441026,505704,166543.0,2018-10-10,On-Hold
1506943,251177,28141.0,2019-08-23,Planned
5018036,701566,756960.0,2018-10-26,Planned
2682008,767197,27760.0,2022-12-08,Active
4278370,626762,172659.0,2024-09-18,Active
1208248,638874,28517.0,2018-08-05,Completed
